Blockno,UnixTimestamp,Value_IN(ETH),Value_IN_USD,TxnFee_ETH,TxnFee_USD,HistoricalPrice_ETH,hour,dayofweek,GasEfficiency,recon_error,autoencoder_anomaly
19557381,1711930727,0.0,0.0,0.0032231376225616,9.93817273168884,3505.52,0,0,9938172.731688842,0.28357843,0
19557381,1711930727,0.0,0.0,0.0021013629374087,6.47931000456001,3505.52,0,0,6479310.0045600105,0.28724006,0
19557383,1711930751,0.0,0.0,0.0026820961802702,8.26993391034411,3505.52,0,0,8269933.91034411,0.28345457,0
19557384,1711930763,0.1,350.552,0.0030581677120333,9.42950705918237,3505.52,0,0,0.0268990250584316,0.29951942,0
19557385,1711930775,0.5,1752.76,0.0035575906741872,10.9694201020863,3505.52,0,0,0.0062583697116706,0.29630172,0
19557387,1711930799,0.1,350.552,0.0033015278672743,10.1798800007118,3505.52,0,0,0.0290395717944049,0.29832557,0
19557390,1711930835,1.0,3505.52,0.0041219685496956,12.7096141209467,3505.52,0,0,0.0036256002297294,0.35018545,0
19557390,1711930835,0.0,0.0,0.0035659687268357,10.9952528601394,3505.52,0,0,10995252.860139402,0.28547958,0
19557392,1711930859,0.19,666.0488,0.0032478421852068,10.014346398339,3505.52,0,0,0.0150354544341248,0.2944202,0
19557393,1711930871,0.0,0.0,0.0020794942996405,6.41188058484604,3505.52,0,0,6411880.58484604,0.28746182,0
19557393,1711930871,0.0,0.0,0.0022185058814224,6.84050674768291,3505.52,0,0,6840506.74768291,0.28614977,0
19557393,1711930871,0.0,0.0,0.0007564714498953,2.33249237731155,3505.52,0,0,2332492.37731155,0.3111944,0
19557393,1711930871,0.0,0.0,0.0006324771626548,1.95017030837064,3505.52,0,0,1950170.3083706405,0.3144787,0
19557397,1711930919,0.0,0.0,0.0021467672018078,6.6193088116836,3505.52,0,0,6619308.8116836,0.28679782,0
19557397,1711930919,0.1,350.552,0.0029227616757529,9.01199817962077,3505.52,0,0,0.0257080209324515,0.30024937,0
19557399,1711930943,0.0,0.0,0.0037380926683018,11.525977161074,3505.52,0,0,11525977.161074,0.28696725,0
19557400,1711930955,0.0,0.0,0.002637316,8.13185939457831,3505.52,0,0,8131859.394578311,0.2836021,0
19557400,1711930955,0.0,0.0,0.0020296719414317,6.25825909555164,3505.52,0,0,6258259.095551641,0.2879887,0
19557400,1711930955,0.2378331025842903,833.7286977712813,0.001934903,5.96605000619863,3505.52,0,0,0.0071558649894038,0.3014936,0
19557402,1711930979,0.0,0.0,0.0027101951551143,8.35657385510767,3505.52,0,0,8356573.85510767,0.2833743,0
19557404,1711931003,0.2,701.104,0.0029449002530601,9.08025992673741,3505.52,0,0,0.0129513737102998,0.2956391,0
19557405,1711931015,0.0,0.0,0.0027866522998993,8.59232063368977,3505.52,0,0,8592320.63368977,0.283204,0
19557408,1711931051,0.0,0.0,0.0042762612649256,13.185357894487,3505.52,0,0,13185357.894487,0.2939178,0
19557408,1711931051,0.3,1051.656,0.0028967583371528,8.9318198872639,3505.52,0,0,0.0084931002901812,0.29435244,0
19557409,1711931063,0.0,0.0,0.00317544,9.79110261945089,3505.52,0,0,9791102.61945089,0.28342596,0
19557410,1711931075,0.07,245.3864,0.0024043385759355,7.41350040589332,3505.52,0,0,0.0302115372966137,0.30537575,0
19557411,1711931087,0.0,0.0,0.0031582141473319,9.73798869156044,3505.52,0,0,9737988.691560442,0.28337765,0
19557412,1711931099,0.0,0.0,0.008950121281751,27.5966656356775,3505.52,0,0,27596665.6356775,0.49925002,0
19557412,1711931099,0.15,525.828,0.0029507222258257,9.09821130758394,3505.52,0,0,0.0173026375360028,0.29750124,0
19557414,1711931123,0.0,0.0,0.0066673951113285,20.5581430414188,3505.52,0,0,20558143.0414188,0.3667019,0
19557416,1711931147,0.0,0.0,0.0030169816920211,9.3025147216082,3505.52,0,0,9302514.7216082,0.28311598,0
